,Name,Type,str_50_type,mid_50_type,mid_10_type,mid_25_type,mid_75_type,mid_90_type,Region,str_50_region,mid_50_region,mid_10_region,mid_25_region,mid_75_region,mid_90_region,Major,str_50_major,mid_50_major,percentage_str_to_mid_major,mid_10_major,mid_25,mid_75_major,mid_90_major
0,Massachusetts Institute of Technology (MIT),Engineering,72200.0,126000.0,76800.0,99200.0,168000.0,220000.0,Northeastern,72200.0,126000.0,76800.0,99200.0,168000.0,220000.0,Accounting,46000.0,77100.0,67.6,42200.0,56100.0,108000.0,152000.0
1,"Polytechnic University of New York, Brooklyn",Engineering,62400.0,114000.0,66800.0,94300.0,143000.0,190000.0,Northeastern,62400.0,114000.0,66800.0,94300.0,143000.0,190000.0,Aerospace Engineering,57700.0,101000.0,75.0,64300.0,82100.0,127000.0,161000.0
2,Worcester Polytechnic Institute (WPI),Engineering,61000.0,114000.0,80000.0,91200.0,137000.0,180000.0,Northeastern,61000.0,114000.0,80000.0,91200.0,137000.0,180000.0,Agriculture,42600.0,71900.0,68.8,36300.0,52100.0,96300.0,150000.0
3,Carnegie Mellon University (CMU),Engineering,61800.0,111000.0,63300.0,80100.0,150000.0,209000.0,Northeastern,61800.0,111000.0,63300.0,80100.0,150000.0,209000.0,Anthropology,36800.0,61500.0,67.1,33800.0,45500.0,89300.0,138000.0
4,Rensselaer Polytechnic Institute (RPI),Engineering,61100.0,110000.0,71600.0,85500.0,140000.0,182000.0,Northeastern,61100.0,110000.0,71600.0,85500.0,140000.0,182000.0,Architecture,41600.0,76800.0,84.6,50600.0,62200.0,97000.0,136000.0
5,Georgia Institute of Technology,Engineering,58300.0,106000.0,67200.0,85200.0,137000.0,183000.0,Southern,58300.0,106000.0,67200.0,85200.0,137000.0,183000.0,Art History,35800.0,64900.0,81.3,28800.0,42200.0,87400.0,125000.0
6,Colorado School of Mines,Engineering,58100.0,106000.0,62200.0,87900.0,142000.0,201000.0,Western,58100.0,106000.0,62200.0,87900.0,142000.0,201000.0,Biology,38800.0,64800.0,67.0,36900.0,47400.0,94500.0,135000.0
7,Stevens Institute of Technology,Engineering,60600.0,105000.0,68700.0,81900.0,138000.0,185000.0,Northeastern,60600.0,105000.0,68700.0,81900.0,138000.0,185000.0,Business Management,43000.0,72100.0,67.7,38800.0,51500.0,102000.0,147000.0
8,Illinois Institute of Technology (IIT),Engineering,56000.0,97800.0,56100.0,77400.0,121000.0,165000.0,Midwestern,56000.0,97800.0,56100.0,77400.0,121000.0,165000.0,Chemical Engineering,63200.0,107000.0,69.3,71900.0,87300.0,143000.0,194000.0
9,Wentworth Institute of Technology,Engineering,53000.0,96700.0,55200.0,74000.0,117000.0,153000.0,Northeastern,53000.0,96700.0,55200.0,74000.0,117000.0,153000.0,Chemistry,42600.0,79900.0,87.6,45300.0,60700.0,108000.0,148000.0
10,Virginia Polytechnic Institute and State University (Virginia Tech),Engineering,53500.0,95400.0,50600.0,71400.0,124000.0,163000.0,Southern,53500.0,95400.0,50600.0,71400.0,124000.0,163000.0,Civil Engineering,53900.0,90500.0,67.9,63400.0,75100.0,115000.0,148000.0
11,South Dakota School of Mines & Technology,Engineering,55800.0,93400.0,71500.0,81900.0,122000.0,147000.0,Midwestern,55800.0,93400.0,71500.0,81900.0,122000.0,147000.0,Communications,38100.0,70000.0,83.7,37500.0,49700.0,98800.0,143000.0
12,Rochester Institute of Technology (RIT),Engineering,48900.0,84600.0,45000.0,62100.0,112000.0,159000.0,Northeastern,48900.0,84600.0,45000.0,62100.0,112000.0,159000.0,Computer Engineering,61400.0,105000.0,71.0,66100.0,84100.0,135000.0,162000.0
13,Tennessee Technological University,Engineering,46200.0,80000.0,42100.0,62600.0,99500.0,121000.0,Southern,46200.0,80000.0,42100.0,62600.0,99500.0,121000.0,Computer Science,55900.0,95500.0,70.8,56000.0,74900.0,122000.0,154000.0
14,University of Illinois at Urbana-Champaign (UIUC),Party,52900.0,96100.0,48200.0,68900.0,132000.0,177000.0,Midwestern,52900.0,96100.0,48200.0,68900.0,132000.0,177000.0,Construction,53700.0,88900.0,65.5,56300.0,68100.0,118000.0,171000.0
15,University of Illinois at Urbana-Champaign (UIUC),State,52900.0,96100.0,48200.0,68900.0,132000.0,177000.0,Midwestern,52900.0,96100.0,48200.0,68900.0,132000.0,177000.0,Criminal Justice,35000.0,56300.0,60.9,32200.0,41600.0,80700.0,107000.0
16,"University of Maryland, College Park",Party,52000.0,95000.0,50400.0,68300.0,126000.0,166000.0,Southern,52000.0,95000.0,50400.0,68300.0,126000.0,166000.0,Drama,35900.0,56900.0,58.5,36700.0,41300.0,79100.0,153000.0
17,"University of Maryland, College Park",State,52000.0,95000.0,50400.0,68300.0,126000.0,166000.0,Southern,52000.0,95000.0,50400.0,68300.0,126000.0,166000.0,Economics,50100.0,98600.0,96.8,50600.0,70600.0,145000.0,210000.0
18,"University of California, Santa Barbara (UCSB)",Party,50500.0,95000.0,51300.0,71200.0,129000.0,173000.0,California,50500.0,95000.0,51300.0,71200.0,129000.0,173000.0,Education,34900.0,52000.0,49.0,29300.0,37900.0,73400.0,102000.0
19,"University of California, Santa Barbara (UCSB)",State,50500.0,95000.0,51300.0,71200.0,129000.0,173000.0,California,50500.0,95000.0,51300.0,71200.0,129000.0,173000.0,Electrical Engineering,60900.0,103000.0,69.1,69300.0,83800.0,130000.0,168000.0
20,University of Texas (UT) - Austin,Party,49700.0,93900.0,50100.0,67400.0,129000.0,188000.0,Southern,49700.0,93900.0,50100.0,67400.0,129000.0,188000.0,English,38000.0,64700.0,70.3,33400.0,44800.0,93200.0,133000.0
21,University of Texas (UT) - Austin,State,49700.0,93900.0,50100.0,67400.0,129000.0,188000.0,Southern,49700.0,93900.0,50100.0,67400.0,129000.0,188000.0,Film,37900.0,68500.0,80.7,33900.0,45500.0,100000.0,136000.0
22,State University of New York (SUNY) at Albany,Party,44500.0,92200.0,47000.0,63100.0,135000.0,209000.0,Northeastern,44500.0,92200.0,47000.0,63100.0,135000.0,209000.0,Finance,47900.0,88300.0,84.3,47200.0,62100.0,128000.0,195000.0
23,State University of New York (SUNY) at Albany,State,44500.0,92200.0,47000.0,63100.0,135000.0,209000.0,Northeastern,44500.0,92200.0,47000.0,63100.0,135000.0,209000.0,Forestry,39100.0,62600.0,60.1,41000.0,49300.0,78200.0,111000.0
24,University of Florida (UF),Party,47100.0,87900.0,45400.0,62900.0,120000.0,172000.0,Southern,47100.0,87900.0,45400.0,62900.0,120000.0,172000.0,Geography,41200.0,65500.0,59.0,40000.0,50000.0,90800.0,132000.0
25,University of Florida (UF),State,47100.0,87900.0,45400.0,62900.0,120000.0,172000.0,Southern,47100.0,87900.0,45400.0,62900.0,120000.0,172000.0,Geology,43500.0,79500.0,82.8,45000.0,59600.0,101000.0,156000.0
26,Louisiana State University (LSU),Party,46900.0,87800.0,43700.0,61300.0,120000.0,165000.0,Southern,46900.0,87800.0,43700.0,61300.0,120000.0,165000.0,Graphic Design,35700.0,59800.0,67.5,36000.0,45500.0,80800.0,112000.0
